DIV_NUM,DIV_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_GRADUATE_CNT,PS_ENROLLMENT_CNT
1,Accomack County ,3,F,N,N,Y,41,28
1,Accomack County ,5,F,N,N,N,44,30
1,Accomack County ,5,F,N,N,Y,31,19
1,Accomack County ,3,M,N,N,N,12,5
1,Accomack County ,3,M,N,N,Y,45,20
1,Accomack County ,4,M,N,Y,Y,18,7
1,Accomack County ,5,M,N,N,N,69,35
1,Accomack County ,5,M,N,N,Y,18,6
2,Albemarle County ,2,F,N,N,N,15,10
2,Albemarle County ,3,F,N,N,N,28,23
2,Albemarle County ,3,F,N,N,Y,22,9
2,Albemarle County ,4,F,N,N,N,17,11
2,Albemarle County ,4,F,N,Y,Y,10,2
2,Albemarle County ,5,F,N,N,N,303,258
2,Albemarle County ,5,F,N,N,Y,27,17
2,Albemarle County ,5,F,Y,N,N,13,12
2,Albemarle County ,99,F,N,N,N,14,14
2,Albemarle County ,2,M,N,N,N,10,9
2,Albemarle County ,3,M,N,N,N,24,18
2,Albemarle County ,3,M,N,N,Y,18,8
2,Albemarle County ,4,M,N,N,N,13,10
2,Albemarle County ,4,M,N,Y,Y,13,5
2,Albemarle County ,5,M,N,N,N,295,239
2,Albemarle County ,5,M,N,N,Y,19,4
2,Albemarle County ,5,M,Y,N,N,29,15
2,Albemarle County ,99,M,N,N,N,11,9
3,Alleghany County ,5,F,N,N,N,59,48
3,Alleghany County ,5,F,N,N,Y,23,15
3,Alleghany County ,5,M,N,N,N,45,26
3,Alleghany County ,5,M,N,N,Y,29,13
4,Amelia County ,5,F,N,N,N,31,23
4,Amelia County ,5,F,N,N,Y,18,12
4,Amelia County ,3,M,N,N,N,10,4
4,Amelia County ,5,M,N,N,N,33,17
4,Amelia County ,5,M,N,N,Y,16,4
5,Amherst County ,3,F,N,N,N,25,16
5,Amherst County ,5,F,N,N,N,75,47
5,Amherst County ,5,F,N,N,Y,19,12
5,Amherst County ,3,M,N,N,N,12,6
5,Amherst County ,3,M,N,N,Y,14,9
5,Amherst County ,5,M,N,N,N,76,38
5,Amherst County ,5,M,N,N,Y,20,6
5,Amherst County ,5,M,Y,N,N,10,2
6,Appomattox County ,3,F,N,N,Y,15,6
6,Appomattox County ,5,F,N,N,N,33,26
6,Appomattox County ,5,F,N,N,Y,18,10
6,Appomattox County ,5,M,N,N,N,31,18
6,Appomattox County ,5,M,N,N,Y,10,3
7,Arlington County ,2,F,N,N,N,27,27
7,Arlington County ,2,F,N,Y,Y,13,9
7,Arlington County ,3,F,N,N,N,35,26
7,Arlington County ,3,F,N,N,Y,30,27
7,Arlington County ,3,F,N,Y,Y,12,7
7,Arlington County ,4,F,N,N,N,47,41
7,Arlington County ,4,F,N,Y,N,24,13
7,Arlington County ,4,F,N,N,Y,31,28
7,Arlington County ,4,F,N,Y,Y,58,37
7,Arlington County ,5,F,N,N,N,258,226
7,Arlington County ,5,F,Y,N,N,15,13
7,Arlington County ,99,F,N,N,N,23,16
7,Arlington County ,2,M,N,N,N,26,24
7,Arlington County ,2,M,N,Y,N,13,8
7,Arlington County ,2,M,N,Y,Y,20,13
7,Arlington County ,3,M,N,N,N,38,28
7,Arlington County ,3,M,N,N,Y,20,16
7,Arlington County ,3,M,N,Y,Y,13,10
7,Arlington County ,3,M,Y,N,N,10,7
7,Arlington County ,4,M,N,N,N,40,31
7,Arlington County ,4,M,N,Y,N,30,16
7,Arlington County ,4,M,N,N,Y,21,18
7,Arlington County ,4,M,N,Y,Y,57,32
7,Arlington County ,4,M,Y,Y,Y,11,6
7,Arlington County ,5,M,N,N,N,263,226
7,Arlington County ,5,M,Y,N,N,45,32
7,Arlington County ,99,M,N,N,N,20,16
8,Augusta County ,5,F,N,N,N,264,199
8,Augusta County ,5,F,N,N,Y,68,31
8,Augusta County ,5,M,N,N,N,273,142
8,Augusta County ,5,M,N,N,Y,64,18
9,Bath County ,5,F,N,N,N,10,9
9,Bath County ,5,M,N,N,N,20,15
10,Bedford County ,3,F,N,N,N,17,12
10,Bedford County ,3,F,N,N,Y,11,3
10,Bedford County ,5,F,N,N,N,261,190
10,Bedford County ,5,F,N,N,Y,85,42
10,Bedford County ,3,M,N,N,N,16,12
10,Bedford County ,5,M,N,N,N,256,164
10,Bedford County ,5,M,N,N,Y,58,18
10,Bedford County ,5,M,Y,N,N,12,2
11,Bland County ,5,F,N,N,N,24,22
11,Bland County ,5,M,N,N,N,16,10
12,Botetourt County ,5,F,N,N,N,144,123
12,Botetourt County ,5,F,N,N,Y,27,11
12,Botetourt County ,5,M,N,N,N,140,101
12,Botetourt County ,5,M,N,N,Y,22,6
12,Botetourt County ,5,M,Y,N,N,16,6
13,Brunswick County ,3,F,N,N,N,30,21
13,Brunswick County ,3,F,N,N,Y,26,12
13,Brunswick County ,3,M,N,N,N,26,14
13,Brunswick County ,5,M,N,N,N,11,2
14,Buchanan County ,5,F,N,N,N,30,23
14,Buchanan County ,5,F,N,N,Y,59,39
14,Buchanan County ,5,M,N,N,N,38,28
14,Buchanan County ,5,M,N,N,Y,53,29
15,Buckingham County ,3,F,N,N,Y,15,8
15,Buckingham County ,5,F,N,N,N,23,17
15,Buckingham County ,5,F,N,N,Y,12,6
15,Buckingham County ,3,M,N,N,Y,10,4
15,Buckingham County ,5,M,N,N,N,27,10
15,Buckingham County ,5,M,N,N,Y,12,6
16,Campbell County ,3,F,N,N,N,17,11
16,Campbell County ,3,F,N,N,Y,27,12
16,Campbell County ,5,F,N,N,N,168,116
16,Campbell County ,5,F,N,N,Y,52,28
16,Campbell County ,3,M,N,N,N,22,16
16,Campbell County ,3,M,N,N,Y,24,12
16,Campbell County ,5,M,N,N,N,153,111
16,Campbell County ,5,M,N,N,Y,37,18
16,Campbell County ,5,M,Y,N,N,17,3
16,Campbell County ,5,M,Y,N,Y,10,1
17,Caroline County ,3,F,N,N,N,22,17
17,Caroline County ,3,F,N,N,Y,23,15
17,Caroline County ,5,F,N,N,N,34,22
17,Caroline County ,5,F,N,N,Y,41,21
17,Caroline County ,3,M,N,N,N,19,8
17,Caroline County ,3,M,N,N,Y,13,6
17,Caroline County ,5,M,N,N,N,27,9
17,Caroline County ,5,M,N,N,Y,25,12
18,Carroll County ,5,F,N,N,N,68,47
18,Carroll County ,5,F,N,N,Y,37,21
18,Carroll County ,5,M,N,N,N,68,43
18,Carroll County ,5,M,N,N,Y,45,17
18,Carroll County ,5,M,Y,N,Y,12,2
19,Charles City County ,3,M,N,N,Y,11,5
20,Charlotte County ,3,F,N,N,Y,14,9
20,Charlotte County ,5,F,N,N,N,24,24
20,Charlotte County ,5,F,N,N,Y,13,11
20,Charlotte County ,5,M,N,N,N,32,14
21,Chesterfield County ,2,F,N,N,N,63,54
21,Chesterfield County ,3,F,N,N,N,424,327
21,Chesterfield County ,3,F,N,N,Y,168,113
21,Chesterfield County ,3,F,Y,N,N,12,4
21,Chesterfield County ,4,F,N,N,N,116,88
21,Chesterfield County ,4,F,N,Y,N,25,8
21,Chesterfield County ,4,F,N,N,Y,35,17
21,Chesterfield County ,4,F,N,Y,Y,32,12
21,Chesterfield County ,5,F,N,N,N,1020,834
21,Chesterfield County ,5,F,N,N,Y,96,56
21,Chesterfield County ,5,F,Y,N,N,37,21
21,Chesterfield County ,99,F,N,N,N,68,50
21,Chesterfield County ,99,F,N,N,Y,19,14
21,Chesterfield County ,2,M,N,N,N,50,47
21,Chesterfield County ,3,M,N,N,N,378,257
21,Chesterfield County ,3,M,N,N,Y,145,73
21,Chesterfield County ,3,M,Y,N,N,39,18
21,Chesterfield County ,3,M,Y,N,Y,26,7
21,Chesterfield County ,4,M,N,N,N,84,47
21,Chesterfield County ,4,M,N,Y,N,39,12
21,Chesterfield County ,4,M,N,N,Y,37,17
21,Chesterfield County ,4,M,N,Y,Y,31,10
21,Chesterfield County ,5,M,N,N,N,974,704
21,Chesterfield County ,5,M,N,N,Y,83,33
21,Chesterfield County ,5,M,Y,N,N,80,39
21,Chesterfield County ,5,M,Y,N,Y,11,1
21,Chesterfield County ,99,M,N,N,N,44,35
21,Chesterfield County ,99,M,N,N,Y,10,3
22,Clarke County ,5,F,N,N,N,60,47
22,Clarke County ,5,M,N,N,N,81,51
23,Craig County ,5,F,N,N,N,12,9
23,Craig County ,5,F,N,N,Y,12,11
24,Culpeper County ,3,F,N,N,N,21,14
24,Culpeper County ,3,F,N,N,Y,22,9
24,Culpeper County ,4,F,N,N,N,12,8
24,Culpeper County ,4,F,N,N,Y,13,3
24,Culpeper County ,5,F,N,N,N,137,102
24,Culpeper County ,5,F,N,N,Y,37,19
24,Culpeper County ,3,M,N,N,N,21,16
24,Culpeper County ,3,M,N,N,Y,13,6
24,Culpeper County ,4,M,N,N,Y,15,8
24,Culpeper County ,5,M,N,N,N,133,67
24,Culpeper County ,5,M,N,N,Y,25,8
25,Cumberland County ,5,F,N,N,N,13,11
25,Cumberland County ,5,F,N,N,Y,14,7
25,Cumberland County ,3,M,N,N,Y,11,4
25,Cumberland County ,5,M,N,N,N,12,9
25,Cumberland County ,5,M,N,N,Y,10,4
26,Dickenson County ,5,F,N,N,N,47,32
26,Dickenson County ,5,F,N,N,Y,49,22
26,Dickenson County ,5,M,N,N,N,34,22
26,Dickenson County ,5,M,N,N,Y,25,11
27,Dinwiddie County ,3,F,N,N,N,21,20
27,Dinwiddie County ,3,F,N,N,Y,42,32
27,Dinwiddie County ,5,F,N,N,N,46,35
27,Dinwiddie County ,5,F,N,N,Y,19,12
27,Dinwiddie County ,3,M,N,N,N,20,14
27,Dinwiddie County ,3,M,N,N,Y,21,9
27,Dinwiddie County ,5,M,N,N,N,53,32
27,Dinwiddie County ,5,M,N,N,Y,19,4
28,Essex County ,3,F,N,N,Y,20,11
28,Essex County ,5,F,N,N,N,18,15
28,Essex County ,3,M,N,N,Y,16,5
28,Essex County ,5,M,N,N,N,17,11
29,Fairfax County ,1,F,N,N,N,11,9
29,Fairfax County ,2,F,N,N,N,839,752
29,Fairfax County ,2,F,N,Y,N,118,88
29,Fairfax County ,2,F,N,N,Y,188,172
29,Fairfax County ,2,F,N,Y,Y,124,90
29,Fairfax County ,2,F,Y,N,N,13,11
29,Fairfax County ,2,F,Y,Y,N,19,13
29,Fairfax County ,2,F,Y,Y,Y,10,7
29,Fairfax County ,3,F,N,N,N,334,291
29,Fairfax County ,3,F,N,Y,N,41,36
29,Fairfax County ,3,F,N,N,Y,184,151
29,Fairfax County ,3,F,N,Y,Y,63,50
29,Fairfax County ,3,F,Y,N,N,23,21
29,Fairfax County ,3,F,Y,N,Y,35,22
29,Fairfax County ,4,F,N,N,N,379,320
29,Fairfax County ,4,F,N,Y,N,102,50
29,Fairfax County ,4,F,N,N,Y,198,144
29,Fairfax County ,4,F,N,Y,Y,269,120
29,Fairfax County ,4,F,Y,N,N,19,13
29,Fairfax County ,4,F,Y,Y,N,28,12
29,Fairfax County ,4,F,Y,N,Y,11,8
29,Fairfax County ,4,F,Y,Y,Y,67,41
29,Fairfax County ,5,F,N,N,N,2355,2123
29,Fairfax County ,5,F,N,Y,N,48,41
29,Fairfax County ,5,F,N,N,Y,87,70
29,Fairfax County ,5,F,N,Y,Y,47,40
29,Fairfax County ,5,F,Y,N,N,193,133
29,Fairfax County ,5,F,Y,N,Y,16,9
29,Fairfax County ,5,F,Y,Y,Y,12,8
29,Fairfax County ,99,F,N,N,N,253,234
29,Fairfax County ,99,F,N,N,Y,26,17
29,Fairfax County ,2,M,N,N,N,822,735
29,Fairfax County ,2,M,N,Y,N,177,121
29,Fairfax County ,2,M,N,N,Y,150,132
29,Fairfax County ,2,M,N,Y,Y,156,109
29,Fairfax County ,2,M,Y,N,N,20,15
29,Fairfax County ,2,M,Y,Y,N,30,18
29,Fairfax County ,2,M,Y,Y,Y,13,10
29,Fairfax County ,3,M,N,N,N,291,244
29,Fairfax County ,3,M,N,Y,N,45,37
29,Fairfax County ,3,M,N,N,Y,136,94
29,Fairfax County ,3,M,N,Y,Y,82,59
29,Fairfax County ,3,M,Y,N,N,52,39
29,Fairfax County ,3,M,Y,N,Y,35,18
29,Fairfax County ,3,M,Y,Y,Y,16,13
29,Fairfax County ,4,M,N,N,N,365,284
29,Fairfax County ,4,M,N,Y,N,129,50
29,Fairfax County ,4,M,N,N,Y,194,118
29,Fairfax County ,4,M,N,Y,Y,288,98
29,Fairfax County ,4,M,Y,N,N,48,31
29,Fairfax County ,4,M,Y,Y,N,51,23
29,Fairfax County ,4,M,Y,N,Y,20,10
29,Fairfax County ,4,M,Y,Y,Y,87,36
29,Fairfax County ,5,M,N,N,N,2348,2003
29,Fairfax County ,5,M,N,Y,N,71,49
29,Fairfax County ,5,M,N,N,Y,84,67
29,Fairfax County ,5,M,N,Y,Y,61,44
29,Fairfax County ,5,M,Y,N,N,321,214
29,Fairfax County ,5,M,Y,Y,N,23,14
29,Fairfax County ,5,M,Y,N,Y,16,6
29,Fairfax County ,5,M,Y,Y,Y,10,7
29,Fairfax County ,99,M,N,N,N,231,196
29,Fairfax County ,99,M,N,N,Y,23,18
29,Fairfax County ,99,M,Y,N,N,24,14
30,Fauquier County ,3,F,N,N,N,18,12
